time,temp_c,condition,wind_kph,wind_degree,wind_dir,precip_mm,snow_cm,humidity,cloud,feelslike_c,windchill_c,heatindex_c,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,gust_kph,uv
2025-05-05 20:00,6.4,Light rain,11.5,56,ENE,0.51,0.0,93,100,3.4,3.4,5.9,1,100,0,0,10.0,16.5,0.0
2025-05-05 21:00,7.3,Light rain,12.2,67,ENE,0.41,0.0,93,75,3.2,3.2,5.8,1,100,0,0,10.0,17.5,0
2025-05-05 22:00,7.4,Light rain,13.3,73,ENE,0.25,0.0,93,100,2.8,2.8,5.6,1,100,0,0,10.0,19.2,0
2025-05-05 23:00,6.3,Moderate rain,15.1,68,ENE,0.27,0.0,100,100,2.3,2.3,5.4,1,100,0,0,8.0,21.9,0
2025-05-06 00:00,5.4,Light rain shower,14.8,63,ENE,0.16,0.0,97,100,2.2,2.2,5.4,1,100,0,0,10.0,21.3,0
2025-05-06 01:00,6.3,Moderate rain,14.4,57,ENE,0.14,0.0,93,100,2.4,2.4,5.4,1,100,0,0,10.0,21.2,0
2025-05-06 02:00,6.1,Overcast,14.4,58,ENE,0.09,0.0,93,100,1.6,1.6,4.8,1,100,0,0,10.0,20.8,0
2025-05-06 03:00,6.4,Light rain,14.4,62,ENE,0.24,0.0,93,100,1.4,1.4,4.6,1,100,0,0,10.0,21.2,0
2025-05-06 05:00,5.0,Light rain,14.0,58,ENE,0.16,0.0,93,100,1.4,1.4,4.6,1,100,0,0,10.0,20.7,0
2025-05-06 06:00,5.0,Moderate rain,13.7,63,ENE,0.1,0.0,93,100,1.5,1.5,4.6,1,100,0,0,10.0,19.6,0.0
2025-05-06 07:00,6.2,Moderate rain,13.0,64,ENE,0.07,0.0,100,100,1.8,1.8,4.7,1,100,0,0,10.0,17.8,0.0
2025-05-06 08:00,5.4,Light rain,12.6,67,ENE,0.06,0.0,93,100,2.0,2.0,4.9,1,100,0,0,10.0,17.1,0.1
2025-05-06 09:00,5.1,Overcast,12.2,68,ENE,0.05,0.0,93,100,2.7,2.7,5.4,0,65,0,0,10.0,16.1,0.3
2025-05-06 10:00,8.2,Partly cloudy,12.6,69,ENE,0.04,0.0,81,50,3.7,3.7,6.3,0,61,0,0,10.0,16.0,0.6
2025-05-06 11:00,9.2,Partly cloudy,11.2,79,E,0.03,0.0,71,75,4.6,4.6,6.8,0,63,0,0,10.0,14.3,1.1
2025-05-06 12:00,7.2,Overcast,10.4,87,E,0.03,0.0,81,100,5.6,5.6,7.5,0,62,0,0,10.0,13.0,1.2
2025-05-06 13:00,10.3,Partly cloudy,9.4,92,E,0.02,0.0,66,75,7.0,7.0,8.5,0,60,0,0,10.0,11.2,1.5
2025-05-06 14:00,8.3,Overcast,9.0,106,ESE,0.02,0.0,76,100,7.5,7.5,8.9,0,65,0,0,10.0,10.9,1.7
2025-05-06 15:00,9.0,Overcast,8.6,123,ESE,0.02,0.0,71,100,8.1,8.1,9.3,1,89,0,0,10.0,10.4,1.9
2025-05-06 16:00,11.3,Partly cloudy,7.6,130,SE,0.01,0.0,58,75,9.1,9.1,10.0,1,73,0,0,10.0,8.8,1.5
2025-05-06 17:00,9.2,Overcast,7.6,138,SE,0.0,0.0,66,100,9.2,9.2,10.1,0,0,0,0,10.0,9.1,1.0
2025-05-06 18:00,9.1,Overcast,7.9,151,SSE,0.0,0.0,71,100,8.5,8.5,9.6,0,0,0,0,10.0,10.4,0.7
2025-05-06 19:00,11.2,Patchy rain nearby,4.3,178,S,0.01,0.0,66,0,8.4,8.4,8.6,0,62,0,0,10.0,7.1,0.3
2025-05-06 20:00,9.4,Overcast,4.0,191,SSW,0.01,0.0,76,100,7.3,7.3,7.4,0,65,0,0,10.0,7.2,0.0
2025-05-06 21:00,8.1,Overcast,4.0,198,SSW,0.0,0.0,87,100,6.8,6.8,7.0,0,0,0,0,10.0,7.5,0
